"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+3.00000000000E+005, -7.91588617324E+001, +0.00000000000E+000
+9.02985000000E+007, -1.18432768918E+002, +0.00000000000E+000
+1.80297000000E+008, -9.16979163856E+001, +0.00000000000E+000
+2.70295500000E+008, -8.35301297104E+001, +0.00000000000E+000
+3.60294000000E+008, -7.77876698100E+001, +0.00000000000E+000
+4.50292500000E+008, -7.54945239706E+001, +0.00000000000E+000
+5.40291000000E+008, -7.68500189493E+001, +0.00000000000E+000
+6.30289500000E+008, -7.52672946924E+001, +0.00000000000E+000
+7.20288000000E+008, -6.74836943548E+001, +0.00000000000E+000
+8.10286500000E+008, -8.71529652153E+001, +0.00000000000E+000
+9.00285000000E+008, -7.64253185240E+001, +0.00000000000E+000
+9.90283500000E+008, -8.28761453371E+001, +0.00000000000E+000
+1.08028200000E+009, -7.68152722338E+001, +0.00000000000E+000
+1.17028050000E+009, -8.02251711588E+001, +0.00000000000E+000
+1.26027900000E+009, -7.80994694053E+001, +0.00000000000E+000
+1.35027750000E+009, -8.11597986798E+001, +0.00000000000E+000
+1.44027600000E+009, -1.02140016156E+002, +0.00000000000E+000
+1.53027450000E+009, -9.31399370939E+001, +0.00000000000E+000
+1.62027300000E+009, -8.19755753500E+001, +0.00000000000E+000
+1.71027150000E+009, -9.56709718102E+001, +0.00000000000E+000
+1.80027000000E+009, -9.58039534494E+001, +0.00000000000E+000
+1.89026850000E+009, -9.71273948161E+001, +0.00000000000E+000
+1.98026700000E+009, -1.01870632047E+002, +0.00000000000E+000
+2.07026550000E+009, -9.16717127869E+001, +0.00000000000E+000
+2.16026400000E+009, -9.15437395610E+001, +0.00000000000E+000
+2.25026250000E+009, -1.02259715241E+002, +0.00000000000E+000
+2.34026100000E+009, -9.53905136869E+001, +0.00000000000E+000
+2.43025950000E+009, -9.43183131562E+001, +0.00000000000E+000
+2.52025800000E+009, -8.91814087016E+001, +0.00000000000E+000
+2.61025650000E+009, -8.75546650505E+001, +0.00000000000E+000
+2.70025500000E+009, -9.05146869382E+001, +0.00000000000E+000
+2.79025350000E+009, -8.47600582227E+001, +0.00000000000E+000
+2.88025200000E+009, -9.20972116370E+001, +0.00000000000E+000
+2.97025050000E+009, -9.12556755679E+001, +0.00000000000E+000
+3.06024900000E+009, -8.67111952190E+001, +0.00000000000E+000
+3.15024750000E+009, -8.35765313866E+001, +0.00000000000E+000
+3.24024600000E+009, -8.60669846243E+001, +0.00000000000E+000
+3.33024450000E+009, -8.74415995290E+001, +0.00000000000E+000
+3.42024300000E+009, -8.55357521856E+001, +0.00000000000E+000
+3.51024150000E+009, -9.02093460538E+001, +0.00000000000E+000
+3.60024000000E+009, -8.57712717159E+001, +0.00000000000E+000
+3.69023850000E+009, -9.26431529764E+001, +0.00000000000E+000
+3.78023700000E+009, -9.68489793015E+001, +0.00000000000E+000
+3.87023550000E+009, -9.74233131667E+001, +0.00000000000E+000
+3.96023400000E+009, -8.87990015056E+001, +0.00000000000E+000
+4.05023250000E+009, -8.98394777302E+001, +0.00000000000E+000
+4.14023100000E+009, -8.85070192665E+001, +0.00000000000E+000
+4.23022950000E+009, -8.89252861679E+001, +0.00000000000E+000
+4.32022800000E+009, -9.50529516600E+001, +0.00000000000E+000
+4.41022650000E+009, -8.85761797780E+001, +0.00000000000E+000
+4.50022500000E+009, -8.83416013865E+001, +0.00000000000E+000
+4.59022350000E+009, -9.18047009377E+001, +0.00000000000E+000
+4.68022200000E+009, -9.33227912692E+001, +0.00000000000E+000
+4.77022050000E+009, -9.15458566954E+001, +0.00000000000E+000
+4.86021900000E+009, -9.00374371108E+001, +0.00000000000E+000
+4.95021750000E+009, -9.25430349702E+001, +0.00000000000E+000
+5.04021600000E+009, -9.33404483007E+001, +0.00000000000E+000
+5.13021450000E+009, -9.44647931025E+001, +0.00000000000E+000
+5.22021300000E+009, -9.50402609414E+001, +0.00000000000E+000
+5.31021150000E+009, -9.63176499392E+001, +0.00000000000E+000
+5.40021000000E+009, -9.86712925782E+001, +0.00000000000E+000
+5.49020850000E+009, -1.04330588984E+002, +0.00000000000E+000
+5.58020700000E+009, -9.27916877418E+001, +0.00000000000E+000
+5.67020550000E+009, -8.77206476267E+001, +0.00000000000E+000
+5.76020400000E+009, -7.84526550891E+001, +0.00000000000E+000
+5.85020250000E+009, -7.14129039827E+001, +0.00000000000E+000
+5.94020100000E+009, -6.72167850932E+001, +0.00000000000E+000
+6.03019950000E+009, -6.63579573383E+001, +0.00000000000E+000
+6.12019800000E+009, -6.52707245424E+001, +0.00000000000E+000
+6.21019650000E+009, -6.60177625888E+001, +0.00000000000E+000
+6.30019500000E+009, -6.30658711467E+001, +0.00000000000E+000
+6.39019350000E+009, -6.48564438600E+001, +0.00000000000E+000
+6.48019200000E+009, -6.42217721933E+001, +0.00000000000E+000
+6.57019050000E+009, -6.41973962425E+001, +0.00000000000E+000
+6.66018900000E+009, -6.71173312480E+001, +0.00000000000E+000
+6.75018750000E+009, -6.65476620005E+001, +0.00000000000E+000
+6.84018600000E+009, -6.67151219388E+001, +0.00000000000E+000
+6.93018450000E+009, -6.96972762854E+001, +0.00000000000E+000
+7.02018300000E+009, -6.76462891215E+001, +0.00000000000E+000
+7.11018150000E+009, -6.83760397001E+001, +0.00000000000E+000
+7.20018000000E+009, -6.88170092363E+001, +0.00000000000E+000
+7.29017850000E+009, -6.56724760329E+001, +0.00000000000E+000
+7.38017700000E+009, -7.34220882012E+001, +0.00000000000E+000
+7.47017550000E+009, -6.58512717725E+001, +0.00000000000E+000
+7.56017400000E+009, -6.77199371652E+001, +0.00000000000E+000
+7.65017250000E+009, -6.96667466434E+001, +0.00000000000E+000
+7.74017100000E+009, -6.73531627277E+001, +0.00000000000E+000
+7.83016950000E+009, -7.03835604313E+001, +0.00000000000E+000
+7.92016800000E+009, -7.49715779010E+001, +0.00000000000E+000
+8.01016650000E+009, -7.19944195292E+001, +0.00000000000E+000
+8.10016500000E+009, -8.49372973100E+001, +0.00000000000E+000
+8.19016350000E+009, -7.88563506467E+001, +0.00000000000E+000
+8.28016200000E+009, -7.33393086016E+001, +0.00000000000E+000
+8.37016050000E+009, -7.96394451475E+001, +0.00000000000E+000
+8.46015900000E+009, -8.90343083938E+001, +0.00000000000E+000
+8.55015750000E+009, -7.81322376218E+001, +0.00000000000E+000
+8.64015600000E+009, -7.86271940613E+001, +0.00000000000E+000
+8.73015450000E+009, -7.75386705348E+001, +0.00000000000E+000
+8.82015300000E+009, -8.32706363643E+001, +0.00000000000E+000
+8.91015150000E+009, -8.36219118888E+001, +0.00000000000E+000
+9.00015000000E+009, -8.44359560530E+001, +0.00000000000E+000
+9.09014850000E+009, -7.51578546288E+001, +0.00000000000E+000
+9.18014700000E+009, -8.12923598181E+001, +0.00000000000E+000
+9.27014550000E+009, -9.90623745310E+001, +0.00000000000E+000
+9.36014400000E+009, -7.87352252923E+001, +0.00000000000E+000
+9.45014250000E+009, -8.33047412609E+001, +0.00000000000E+000
+9.54014100000E+009, -8.17254081140E+001, +0.00000000000E+000
+9.63013950000E+009, -7.75853300973E+001, +0.00000000000E+000
+9.72013800000E+009, -7.64810947394E+001, +0.00000000000E+000
+9.81013650000E+009, -7.80587001971E+001, +0.00000000000E+000
+9.90013500000E+009, -7.26235396795E+001, +0.00000000000E+000
+9.99013350000E+009, -7.97861347899E+001, +0.00000000000E+000
+1.00801320000E+010, -7.66344750173E+001, +0.00000000000E+000
+1.01701305000E+010, -7.48980656116E+001, +0.00000000000E+000
+1.02601290000E+010, -9.25859827037E+001, +0.00000000000E+000
+1.03501275000E+010, -8.03520813520E+001, +0.00000000000E+000
+1.04401260000E+010, -7.57479117897E+001, +0.00000000000E+000
+1.05301245000E+010, -7.26265082430E+001, +0.00000000000E+000
+1.06201230000E+010, -7.64037717638E+001, +0.00000000000E+000
+1.07101215000E+010, -6.91447405130E+001, +0.00000000000E+000
+1.08001200000E+010, -7.55181249476E+001, +0.00000000000E+000
+1.08901185000E+010, -7.27064240003E+001, +0.00000000000E+000
+1.09801170000E+010, -7.29456271095E+001, +0.00000000000E+000
+1.10701155000E+010, -7.89931687997E+001, +0.00000000000E+000
+1.11601140000E+010, -7.86640129449E+001, +0.00000000000E+000
+1.12501125000E+010, -8.26594422826E+001, +0.00000000000E+000
+1.13401110000E+010, -7.95939587346E+001, +0.00000000000E+000
+1.14301095000E+010, -7.21428202534E+001, +0.00000000000E+000
