"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+3.00000000000E+005, -7.91399376707E+001, +0.00000000000E+000
+9.02985000000E+007, -1.07738270195E+002, +0.00000000000E+000
+1.80297000000E+008, -9.23596824712E+001, +0.00000000000E+000
+2.70295500000E+008, -8.95480527536E+001, +0.00000000000E+000
+3.60294000000E+008, -8.43547100790E+001, +0.00000000000E+000
+4.50292500000E+008, -7.12646219648E+001, +0.00000000000E+000
+5.40291000000E+008, -6.90108640399E+001, +0.00000000000E+000
+6.30289500000E+008, -7.63304940683E+001, +0.00000000000E+000
+7.20288000000E+008, -7.94130159223E+001, +0.00000000000E+000
+8.10286500000E+008, -7.54262353952E+001, +0.00000000000E+000
+9.00285000000E+008, -8.09635217222E+001, +0.00000000000E+000
+9.90283500000E+008, -7.64455748264E+001, +0.00000000000E+000
+1.08028200000E+009, -7.33472895242E+001, +0.00000000000E+000
+1.17028050000E+009, -7.41852540886E+001, +0.00000000000E+000
+1.26027900000E+009, -7.34463288976E+001, +0.00000000000E+000
+1.35027750000E+009, -8.05269610159E+001, +0.00000000000E+000
+1.44027600000E+009, -8.28172610655E+001, +0.00000000000E+000
+1.53027450000E+009, -8.67597120628E+001, +0.00000000000E+000
+1.62027300000E+009, -8.04096329821E+001, +0.00000000000E+000
+1.71027150000E+009, -9.71787474629E+001, +0.00000000000E+000
+1.80027000000E+009, -9.00230054758E+001, +0.00000000000E+000
+1.89026850000E+009, -8.41668638448E+001, +0.00000000000E+000
+1.98026700000E+009, -8.96345995207E+001, +0.00000000000E+000
+2.07026550000E+009, -9.99880967441E+001, +0.00000000000E+000
+2.16026400000E+009, -1.06201562948E+002, +0.00000000000E+000
+2.25026250000E+009, -9.90774829108E+001, +0.00000000000E+000
+2.34026100000E+009, -1.10194513723E+002, +0.00000000000E+000
+2.43025950000E+009, -9.31164962173E+001, +0.00000000000E+000
+2.52025800000E+009, -9.05014169524E+001, +0.00000000000E+000
+2.61025650000E+009, -8.63921588555E+001, +0.00000000000E+000
+2.70025500000E+009, -8.31055143662E+001, +0.00000000000E+000
+2.79025350000E+009, -8.25033631223E+001, +0.00000000000E+000
+2.88025200000E+009, -8.30259686917E+001, +0.00000000000E+000
+2.97025050000E+009, -8.68469876107E+001, +0.00000000000E+000
+3.06024900000E+009, -8.66511907723E+001, +0.00000000000E+000
+3.15024750000E+009, -8.69230389834E+001, +0.00000000000E+000
+3.24024600000E+009, -8.77124051139E+001, +0.00000000000E+000
+3.33024450000E+009, -9.32100552543E+001, +0.00000000000E+000
+3.42024300000E+009, -9.91319777885E+001, +0.00000000000E+000
+3.51024150000E+009, -9.39466236252E+001, +0.00000000000E+000
+3.60024000000E+009, -9.53708668063E+001, +0.00000000000E+000
+3.69023850000E+009, -9.06330824709E+001, +0.00000000000E+000
+3.78023700000E+009, -8.89455637532E+001, +0.00000000000E+000
+3.87023550000E+009, -9.11343408279E+001, +0.00000000000E+000
+3.96023400000E+009, -9.16687796848E+001, +0.00000000000E+000
+4.05023250000E+009, -8.52497824626E+001, +0.00000000000E+000
+4.14023100000E+009, -8.54259905217E+001, +0.00000000000E+000
+4.23022950000E+009, -8.92790063436E+001, +0.00000000000E+000
+4.32022800000E+009, -9.04893168961E+001, +0.00000000000E+000
+4.41022650000E+009, -9.48806515796E+001, +0.00000000000E+000
+4.50022500000E+009, -9.35531816464E+001, +0.00000000000E+000
+4.59022350000E+009, -9.70176410720E+001, +0.00000000000E+000
+4.68022200000E+009, -9.60163075283E+001, +0.00000000000E+000
+4.77022050000E+009, -9.63537560066E+001, +0.00000000000E+000
+4.86021900000E+009, -9.32085859239E+001, +0.00000000000E+000
+4.95021750000E+009, -9.08004802733E+001, +0.00000000000E+000
+5.04021600000E+009, -9.91527610802E+001, +0.00000000000E+000
+5.13021450000E+009, -9.48467574013E+001, +0.00000000000E+000
+5.22021300000E+009, -9.43519056473E+001, +0.00000000000E+000
+5.31021150000E+009, -8.60896593644E+001, +0.00000000000E+000
+5.40021000000E+009, -8.59964406362E+001, +0.00000000000E+000
+5.49020850000E+009, -8.08515048147E+001, +0.00000000000E+000
+5.58020700000E+009, -7.88348828517E+001, +0.00000000000E+000
+5.67020550000E+009, -7.58082985241E+001, +0.00000000000E+000
+5.76020400000E+009, -7.45395714525E+001, +0.00000000000E+000
+5.85020250000E+009, -7.42172487580E+001, +0.00000000000E+000
+5.94020100000E+009, -7.49563064449E+001, +0.00000000000E+000
+6.03019950000E+009, -7.85181149527E+001, +0.00000000000E+000
+6.12019800000E+009, -7.48242507526E+001, +0.00000000000E+000
+6.21019650000E+009, -7.68008350052E+001, +0.00000000000E+000
+6.30019500000E+009, -7.90596828402E+001, +0.00000000000E+000
+6.39019350000E+009, -7.96231158881E+001, +0.00000000000E+000
+6.48019200000E+009, -9.25176094643E+001, +0.00000000000E+000
+6.57019050000E+009, -8.25806986511E+001, +0.00000000000E+000
+6.66018900000E+009, -8.27609891710E+001, +0.00000000000E+000
+6.75018750000E+009, -9.62956285893E+001, +0.00000000000E+000
+6.84018600000E+009, -8.54569080998E+001, +0.00000000000E+000
+6.93018450000E+009, -8.88256552217E+001, +0.00000000000E+000
+7.02018300000E+009, -9.00017677558E+001, +0.00000000000E+000
+7.11018150000E+009, -8.64730420455E+001, +0.00000000000E+000
+7.20018000000E+009, -1.05608004687E+002, +0.00000000000E+000
+7.29017850000E+009, -9.26634070484E+001, +0.00000000000E+000
+7.38017700000E+009, -9.39026785697E+001, +0.00000000000E+000
+7.47017550000E+009, -8.72065892159E+001, +0.00000000000E+000
+7.56017400000E+009, -9.57335562449E+001, +0.00000000000E+000
+7.65017250000E+009, -8.86062531785E+001, +0.00000000000E+000
+7.74017100000E+009, -8.99303027273E+001, +0.00000000000E+000
+7.83016950000E+009, -8.94168573906E+001, +0.00000000000E+000
+7.92016800000E+009, -8.58243032186E+001, +0.00000000000E+000
+8.01016650000E+009, -9.03531296619E+001, +0.00000000000E+000
+8.10016500000E+009, -9.18554664171E+001, +0.00000000000E+000
+8.19016350000E+009, -9.24539685667E+001, +0.00000000000E+000
+8.28016200000E+009, -8.05817292200E+001, +0.00000000000E+000
+8.37016050000E+009, -8.82366626755E+001, +0.00000000000E+000
+8.46015900000E+009, -9.62599074742E+001, +0.00000000000E+000
+8.55015750000E+009, -8.99256798827E+001, +0.00000000000E+000
+8.64015600000E+009, -8.84221384640E+001, +0.00000000000E+000
+8.73015450000E+009, -8.67344958955E+001, +0.00000000000E+000
+8.82015300000E+009, -9.77812755432E+001, +0.00000000000E+000
+8.91015150000E+009, -1.01022672196E+002, +0.00000000000E+000
+9.00015000000E+009, -9.32615438822E+001, +0.00000000000E+000
+9.09014850000E+009, -9.63352355656E+001, +0.00000000000E+000
+9.18014700000E+009, -8.63727694874E+001, +0.00000000000E+000
+9.27014550000E+009, -8.90850473834E+001, +0.00000000000E+000
+9.36014400000E+009, -1.01414471347E+002, +0.00000000000E+000
+9.45014250000E+009, -9.24492250706E+001, +0.00000000000E+000
+9.54014100000E+009, -8.90319818719E+001, +0.00000000000E+000
+9.63013950000E+009, -9.41866773358E+001, +0.00000000000E+000
+9.72013800000E+009, -9.06175567205E+001, +0.00000000000E+000
+9.81013650000E+009, -8.38328550019E+001, +0.00000000000E+000
+9.90013500000E+009, -8.92310386435E+001, +0.00000000000E+000
+9.99013350000E+009, -1.09158603610E+002, +0.00000000000E+000
+1.00801320000E+010, -9.30617316249E+001, +0.00000000000E+000
+1.01701305000E+010, -9.10225223155E+001, +0.00000000000E+000
+1.02601290000E+010, -8.58160452942E+001, +0.00000000000E+000
+1.03501275000E+010, -8.44664770390E+001, +0.00000000000E+000
+1.04401260000E+010, -9.58135500208E+001, +0.00000000000E+000
+1.05301245000E+010, -1.02624402679E+002, +0.00000000000E+000
+1.06201230000E+010, -9.29094099052E+001, +0.00000000000E+000
+1.07101215000E+010, -9.39579455714E+001, +0.00000000000E+000
+1.08001200000E+010, -8.41319366676E+001, +0.00000000000E+000
+1.08901185000E+010, -9.19496951391E+001, +0.00000000000E+000
+1.09801170000E+010, -1.00358549744E+002, +0.00000000000E+000
+1.10701155000E+010, -9.40552643992E+001, +0.00000000000E+000
+1.11601140000E+010, -8.58971741041E+001, +0.00000000000E+000
+1.12501125000E+010, -8.57000431809E+001, +0.00000000000E+000
+1.13401110000E+010, -9.02198337589E+001, +0.00000000000E+000
+1.14301095000E+010, -8.72598991944E+001, +0.00000000000E+000
+1.15201080000E+010, -8.67790858234E+001, +0.00000000000E+000
+1.16101065000E+010, -9.11448387070E+001, +0.00000000000E+000
+1.17001050000E+010, -9.32044513379E+001, +0.00000000000E+000
+1.17901035000E+010, -9.59948462095E+001, +0.00000000000E+000
+1.18801020000E+010, -1.04074938127E+002, +0.00000000000E+000
+1.19701005000E+010, -9.16313062880E+001, +0.00000000000E+000
+1.20600990000E+010, -9.30378014335E+001, +0.00000000000E+000
+1.21500975000E+010, -9.90078315684E+001, +0.00000000000E+000
+1.22400960000E+010, -8.70340437805E+001, +0.00000000000E+000
+1.23300945000E+010, -9.65988414824E+001, +0.00000000000E+000
+1.24200930000E+010, -9.65736488574E+001, +0.00000000000E+000
+1.25100915000E+010, -8.87605166930E+001, +0.00000000000E+000
+1.26000900000E+010, -9.09573286069E+001, +0.00000000000E+000
+1.26900885000E+010, -8.87325204568E+001, +0.00000000000E+000
+1.27800870000E+010, -9.29254333895E+001, +0.00000000000E+000
+1.28700855000E+010, -9.68759226302E+001, +0.00000000000E+000
+1.29600840000E+010, -9.61042039768E+001, +0.00000000000E+000
+1.30500825000E+010, -9.50205428692E+001, +0.00000000000E+000
+1.31400810000E+010, -9.28783445933E+001, +0.00000000000E+000
+1.32300795000E+010, -9.17427806897E+001, +0.00000000000E+000
+1.33200780000E+010, -9.30175061007E+001, +0.00000000000E+000
+1.34100765000E+010, -9.64270000241E+001, +0.00000000000E+000
+1.35000750000E+010, -1.04011432965E+002, +0.00000000000E+000
+1.35900735000E+010, -9.27499565265E+001, +0.00000000000E+000
+1.36800720000E+010, -9.41032783202E+001, +0.00000000000E+000
+1.37700705000E+010, -9.25263622066E+001, +0.00000000000E+000
+1.38600690000E+010, -9.58181512203E+001, +0.00000000000E+000
+1.39500675000E+010, -9.05914411021E+001, +0.00000000000E+000
+1.40400660000E+010, -9.43617134351E+001, +0.00000000000E+000
+1.41300645000E+010, -9.86671146216E+001, +0.00000000000E+000
+1.42200630000E+010, -9.45714204044E+001, +0.00000000000E+000
+1.43100615000E+010, -9.48221381749E+001, +0.00000000000E+000
+1.44000600000E+010, -9.45834295715E+001, +0.00000000000E+000
+1.44900585000E+010, -9.11849985872E+001, +0.00000000000E+000
+1.45800570000E+010, -1.02254616345E+002, +0.00000000000E+000
+1.46700555000E+010, -9.84697277780E+001, +0.00000000000E+000
+1.47600540000E+010, -9.23521310295E+001, +0.00000000000E+000
+1.48500525000E+010, -9.87876959408E+001, +0.00000000000E+000
+1.49400510000E+010, -1.03235288812E+002, +0.00000000000E+000
+1.50300495000E+010, -1.01657800538E+002, +0.00000000000E+000
+1.51200480000E+010, -9.43085333661E+001, +0.00000000000E+000
+1.52100465000E+010, -1.00570540728E+002, +0.00000000000E+000
+1.53000450000E+010, -9.30726807096E+001, +0.00000000000E+000
+1.53900435000E+010, -9.68625552448E+001, +0.00000000000E+000
+1.54800420000E+010, -9.80416422567E+001, +0.00000000000E+000
+1.55700405000E+010, -9.55213330190E+001, +0.00000000000E+000
+1.56600390000E+010, -9.85891964788E+001, +0.00000000000E+000
+1.57500375000E+010, -9.66703315737E+001, +0.00000000000E+000
+1.58400360000E+010, -1.01195457285E+002, +0.00000000000E+000
+1.59300345000E+010, -1.02828123514E+002, +0.00000000000E+000
+1.60200330000E+010, -9.76901793928E+001, +0.00000000000E+000
+1.61100315000E+010, -9.80840158878E+001, +0.00000000000E+000
+1.62000300000E+010, -9.62111803559E+001, +0.00000000000E+000
+1.62900285000E+010, -1.01999184859E+002, +0.00000000000E+000
+1.63800270000E+010, -1.01918093909E+002, +0.00000000000E+000
+1.64700255000E+010, -9.66488349989E+001, +0.00000000000E+000
+1.65600240000E+010, -9.20610909024E+001, +0.00000000000E+000
+1.66500225000E+010, -9.40417456519E+001, +0.00000000000E+000
+1.67400210000E+010, -8.98202546034E+001, +0.00000000000E+000
+1.68300195000E+010, -9.03587521366E+001, +0.00000000000E+000
+1.69200180000E+010, -1.18177018037E+002, +0.00000000000E+000
+1.70100165000E+010, -1.03570717494E+002, +0.00000000000E+000
+1.71000150000E+010, -9.70346066307E+001, +0.00000000000E+000
+1.71900135000E+010, -9.62697499675E+001, +0.00000000000E+000
+1.72800120000E+010, -1.12410367248E+002, +0.00000000000E+000
+1.73700105000E+010, -9.64901560369E+001, +0.00000000000E+000
+1.74600090000E+010, -9.08889730755E+001, +0.00000000000E+000
+1.75500075000E+010, -9.45485856674E+001, +0.00000000000E+000
+1.76400060000E+010, -9.94193686179E+001, +0.00000000000E+000
+1.77300045000E+010, -1.13106088179E+002, +0.00000000000E+000
+1.78200030000E+010, -9.81666767053E+001, +0.00000000000E+000
+1.79100015000E+010, -9.78112483509E+001, +0.00000000000E+000
+1.80000000000E+010, -9.84111390752E+001, +0.00000000000E+000
