"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+3.00000000000E+005, -8.05542321357E+001, +0.00000000000E+000
+9.02985000000E+007, -8.97241724063E+001, +0.00000000000E+000
+1.80297000000E+008, -7.59444874689E+001, +0.00000000000E+000
+2.70295500000E+008, -6.36380372786E+001, +0.00000000000E+000
+3.60294000000E+008, -7.54330909966E+001, +0.00000000000E+000
+4.50292500000E+008, -6.82388310921E+001, +0.00000000000E+000
+5.40291000000E+008, -6.65194710372E+001, +0.00000000000E+000
+6.30289500000E+008, -6.31546900911E+001, +0.00000000000E+000
+7.20288000000E+008, -6.08652883015E+001, +0.00000000000E+000
+8.10286500000E+008, -6.67556628347E+001, +0.00000000000E+000
+9.00285000000E+008, -6.94050446168E+001, +0.00000000000E+000
+9.90283500000E+008, -6.03153204477E+001, +0.00000000000E+000
+1.08028200000E+009, -6.23108991931E+001, +0.00000000000E+000
+1.17028050000E+009, -5.96063710814E+001, +0.00000000000E+000
+1.26027900000E+009, -6.24885602645E+001, +0.00000000000E+000
+1.35027750000E+009, -6.23991555511E+001, +0.00000000000E+000
+1.44027600000E+009, -6.23821784732E+001, +0.00000000000E+000
+1.53027450000E+009, -6.19306833996E+001, +0.00000000000E+000
+1.62027300000E+009, -6.25454802419E+001, +0.00000000000E+000
+1.71027150000E+009, -6.54618408126E+001, +0.00000000000E+000
+1.80027000000E+009, -6.63290128197E+001, +0.00000000000E+000
+1.89026850000E+009, -7.64216142925E+001, +0.00000000000E+000
+1.98026700000E+009, -7.27119922586E+001, +0.00000000000E+000
+2.07026550000E+009, -7.94246052638E+001, +0.00000000000E+000
+2.16026400000E+009, -7.80814652714E+001, +0.00000000000E+000
+2.25026250000E+009, -7.32172027053E+001, +0.00000000000E+000
+2.34026100000E+009, -7.89684811752E+001, +0.00000000000E+000
+2.43025950000E+009, -7.31362163952E+001, +0.00000000000E+000
+2.52025800000E+009, -9.07096789299E+001, +0.00000000000E+000
+2.61025650000E+009, -8.12498070566E+001, +0.00000000000E+000
+2.70025500000E+009, -8.18493511653E+001, +0.00000000000E+000
+2.79025350000E+009, -9.25322343024E+001, +0.00000000000E+000
+2.88025200000E+009, -8.08265846119E+001, +0.00000000000E+000
+2.97025050000E+009, -9.58685795944E+001, +0.00000000000E+000
+3.06024900000E+009, -9.09057366924E+001, +0.00000000000E+000
+3.15024750000E+009, -9.31866100821E+001, +0.00000000000E+000
+3.24024600000E+009, -8.99066364688E+001, +0.00000000000E+000
+3.33024450000E+009, -9.83568710180E+001, +0.00000000000E+000
+3.42024300000E+009, -9.68164533730E+001, +0.00000000000E+000
+3.51024150000E+009, -9.57754056110E+001, +0.00000000000E+000
+3.60024000000E+009, -9.05282843916E+001, +0.00000000000E+000
+3.69023850000E+009, -8.73486503431E+001, +0.00000000000E+000
+3.78023700000E+009, -8.62119878886E+001, +0.00000000000E+000
+3.87023550000E+009, -8.51870242013E+001, +0.00000000000E+000
+3.96023400000E+009, -8.45171804494E+001, +0.00000000000E+000
+4.05023250000E+009, -8.30742609330E+001, +0.00000000000E+000
+4.14023100000E+009, -8.99172957019E+001, +0.00000000000E+000
+4.23022950000E+009, -8.60674563670E+001, +0.00000000000E+000
+4.32022800000E+009, -8.32739172191E+001, +0.00000000000E+000
+4.41022650000E+009, -8.39918378429E+001, +0.00000000000E+000
+4.50022500000E+009, -8.25212966143E+001, +0.00000000000E+000
+4.59022350000E+009, -8.55326623757E+001, +0.00000000000E+000
+4.68022200000E+009, -8.94808240783E+001, +0.00000000000E+000
+4.77022050000E+009, -9.79234768505E+001, +0.00000000000E+000
+4.86021900000E+009, -1.03879544649E+002, +0.00000000000E+000
+4.95021750000E+009, -9.48886282176E+001, +0.00000000000E+000
+5.04021600000E+009, -8.79613360068E+001, +0.00000000000E+000
+5.13021450000E+009, -1.02409395003E+002, +0.00000000000E+000
+5.22021300000E+009, -8.68737325314E+001, +0.00000000000E+000
+5.31021150000E+009, -9.36285323625E+001, +0.00000000000E+000
+5.40021000000E+009, -1.03357485954E+002, +0.00000000000E+000
+5.49020850000E+009, -1.02621603271E+002, +0.00000000000E+000
+5.58020700000E+009, -9.50441257424E+001, +0.00000000000E+000
+5.67020550000E+009, -8.85058324842E+001, +0.00000000000E+000
+5.76020400000E+009, -8.35306258215E+001, +0.00000000000E+000
+5.85020250000E+009, -8.18638277770E+001, +0.00000000000E+000
+5.94020100000E+009, -8.03906917404E+001, +0.00000000000E+000
+6.03019950000E+009, -8.44218343705E+001, +0.00000000000E+000
+6.12019800000E+009, -8.66930407641E+001, +0.00000000000E+000
+6.21019650000E+009, -8.18125353924E+001, +0.00000000000E+000
+6.30019500000E+009, -8.02796849903E+001, +0.00000000000E+000
+6.39019350000E+009, -7.93309988692E+001, +0.00000000000E+000
+6.48019200000E+009, -7.98277311015E+001, +0.00000000000E+000
+6.57019050000E+009, -7.91989314009E+001, +0.00000000000E+000
+6.66018900000E+009, -8.17176050591E+001, +0.00000000000E+000
+6.75018750000E+009, -8.20055278074E+001, +0.00000000000E+000
+6.84018600000E+009, -8.52334227409E+001, +0.00000000000E+000
+6.93018450000E+009, -8.28633640964E+001, +0.00000000000E+000
+7.02018300000E+009, -8.37034254797E+001, +0.00000000000E+000
+7.11018150000E+009, -8.02017590349E+001, +0.00000000000E+000
+7.20018000000E+009, -8.70659168277E+001, +0.00000000000E+000
+7.29017850000E+009, -7.82256613799E+001, +0.00000000000E+000
+7.38017700000E+009, -8.18576303536E+001, +0.00000000000E+000
+7.47017550000E+009, -8.55016983632E+001, +0.00000000000E+000
+7.56017400000E+009, -8.01753566944E+001, +0.00000000000E+000
+7.65017250000E+009, -8.06931833276E+001, +0.00000000000E+000
+7.74017100000E+009, -8.88935033136E+001, +0.00000000000E+000
+7.83016950000E+009, -8.57185745950E+001, +0.00000000000E+000
+7.92016800000E+009, -7.96170175694E+001, +0.00000000000E+000
+8.01016650000E+009, -8.56257044513E+001, +0.00000000000E+000
+8.10016500000E+009, -7.80315842698E+001, +0.00000000000E+000
+8.19016350000E+009, -9.89420381960E+001, +0.00000000000E+000
+8.28016200000E+009, -8.26956557969E+001, +0.00000000000E+000
+8.37016050000E+009, -9.65750686416E+001, +0.00000000000E+000
+8.46015900000E+009, -9.03468476582E+001, +0.00000000000E+000
+8.55015750000E+009, -9.90289246088E+001, +0.00000000000E+000
+8.64015600000E+009, -9.31535690586E+001, +0.00000000000E+000
+8.73015450000E+009, -7.97347875314E+001, +0.00000000000E+000
+8.82015300000E+009, -9.32550744259E+001, +0.00000000000E+000
+8.91015150000E+009, -9.29240426625E+001, +0.00000000000E+000
+9.00015000000E+009, -8.89542883776E+001, +0.00000000000E+000
+9.09014850000E+009, -9.22601810349E+001, +0.00000000000E+000
+9.18014700000E+009, -8.82032786032E+001, +0.00000000000E+000
+9.27014550000E+009, -8.79654979894E+001, +0.00000000000E+000
+9.36014400000E+009, -8.82333260528E+001, +0.00000000000E+000
+9.45014250000E+009, -9.78168169704E+001, +0.00000000000E+000
+9.54014100000E+009, -9.44996618066E+001, +0.00000000000E+000
+9.63013950000E+009, -8.99762559928E+001, +0.00000000000E+000
+9.72013800000E+009, -8.84955599454E+001, +0.00000000000E+000
+9.81013650000E+009, -8.71241129252E+001, +0.00000000000E+000
+9.90013500000E+009, -9.00455716185E+001, +0.00000000000E+000
+9.99013350000E+009, -8.83858634661E+001, +0.00000000000E+000
+1.00801320000E+010, -8.59186534350E+001, +0.00000000000E+000
+1.01701305000E+010, -9.52821024279E+001, +0.00000000000E+000
+1.02601290000E+010, -9.79945288638E+001, +0.00000000000E+000
+1.03501275000E+010, -8.74062696959E+001, +0.00000000000E+000
+1.04401260000E+010, -9.01705373123E+001, +0.00000000000E+000
+1.05301245000E+010, -1.08597348310E+002, +0.00000000000E+000
+1.06201230000E+010, -9.32803477222E+001, +0.00000000000E+000
+1.07101215000E+010, -8.58760815819E+001, +0.00000000000E+000
+1.08001200000E+010, -9.76540203107E+001, +0.00000000000E+000
+1.08901185000E+010, -8.48189464722E+001, +0.00000000000E+000
+1.09801170000E+010, -8.74852696581E+001, +0.00000000000E+000
+1.10701155000E+010, -9.01139563392E+001, +0.00000000000E+000
+1.11601140000E+010, -8.90538948534E+001, +0.00000000000E+000
+1.12501125000E+010, -9.56080040077E+001, +0.00000000000E+000
+1.13401110000E+010, -8.90608759599E+001, +0.00000000000E+000
+1.14301095000E+010, -1.01272736023E+002, +0.00000000000E+000
+1.15201080000E+010, -8.97179534845E+001, +0.00000000000E+000
+1.16101065000E+010, -9.07251790632E+001, +0.00000000000E+000
+1.17001050000E+010, -9.54295947643E+001, +0.00000000000E+000
+1.17901035000E+010, -1.01862470294E+002, +0.00000000000E+000
+1.18801020000E+010, -9.40016500665E+001, +0.00000000000E+000
+1.19701005000E+010, -9.78430864257E+001, +0.00000000000E+000
+1.20600990000E+010, -8.90374015216E+001, +0.00000000000E+000
+1.21500975000E+010, -9.74973814297E+001, +0.00000000000E+000
+1.22400960000E+010, -9.98497212639E+001, +0.00000000000E+000
+1.23300945000E+010, -1.02345220916E+002, +0.00000000000E+000
+1.24200930000E+010, -1.00947397616E+002, +0.00000000000E+000
+1.25100915000E+010, -9.30941004428E+001, +0.00000000000E+000
+1.26000900000E+010, -9.22742427122E+001, +0.00000000000E+000
+1.26900885000E+010, -9.82843057906E+001, +0.00000000000E+000
+1.27800870000E+010, -1.02473767867E+002, +0.00000000000E+000
+1.28700855000E+010, -1.03673790385E+002, +0.00000000000E+000
+1.29600840000E+010, -9.36911419505E+001, +0.00000000000E+000
+1.30500825000E+010, -1.10533729716E+002, +0.00000000000E+000
+1.31400810000E+010, -1.15780747909E+002, +0.00000000000E+000
+1.32300795000E+010, -1.00115910459E+002, +0.00000000000E+000
+1.33200780000E+010, -9.56430294945E+001, +0.00000000000E+000
+1.34100765000E+010, -9.87039844813E+001, +0.00000000000E+000
+1.35000750000E+010, -9.23818411462E+001, +0.00000000000E+000
+1.35900735000E+010, -8.90350390390E+001, +0.00000000000E+000
+1.36800720000E+010, -9.05764788001E+001, +0.00000000000E+000
+1.37700705000E+010, -9.56363775382E+001, +0.00000000000E+000
+1.38600690000E+010, -9.53807284737E+001, +0.00000000000E+000
+1.39500675000E+010, -8.89989495325E+001, +0.00000000000E+000
+1.40400660000E+010, -9.38808205434E+001, +0.00000000000E+000
+1.41300645000E+010, -1.00999076756E+002, +0.00000000000E+000
+1.42200630000E+010, -1.05450352667E+002, +0.00000000000E+000
+1.43100615000E+010, -9.34200679041E+001, +0.00000000000E+000
+1.44000600000E+010, -9.84913342052E+001, +0.00000000000E+000
+1.44900585000E+010, -9.34872805036E+001, +0.00000000000E+000
+1.45800570000E+010, -9.13496231975E+001, +0.00000000000E+000
+1.46700555000E+010, -8.92141935508E+001, +0.00000000000E+000
+1.47600540000E+010, -8.95178279154E+001, +0.00000000000E+000
+1.48500525000E+010, -9.22093797622E+001, +0.00000000000E+000
+1.49400510000E+010, -9.17598416880E+001, +0.00000000000E+000
+1.50300495000E+010, -9.83340418639E+001, +0.00000000000E+000
+1.51200480000E+010, -1.02841639936E+002, +0.00000000000E+000
+1.52100465000E+010, -9.79542583935E+001, +0.00000000000E+000
+1.53000450000E+010, -1.03752944640E+002, +0.00000000000E+000
+1.53900435000E+010, -9.01124903305E+001, +0.00000000000E+000
+1.54800420000E+010, -9.04883436520E+001, +0.00000000000E+000
+1.55700405000E+010, -9.19356207863E+001, +0.00000000000E+000
+1.56600390000E+010, -9.02214592473E+001, +0.00000000000E+000
+1.57500375000E+010, -8.85495158431E+001, +0.00000000000E+000
