"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+3.00000000000E+005, -7.95429262848E+001, +0.00000000000E+000
+9.02985000000E+007, -1.00803568910E+002, +0.00000000000E+000
+1.80297000000E+008, -8.02754306252E+001, +0.00000000000E+000
+2.70295500000E+008, -7.49884339163E+001, +0.00000000000E+000
+3.60294000000E+008, -7.25554921642E+001, +0.00000000000E+000
+4.50292500000E+008, -6.27288704197E+001, +0.00000000000E+000
+5.40291000000E+008, -6.47687107261E+001, +0.00000000000E+000
+6.30289500000E+008, -6.46483414310E+001, +0.00000000000E+000
+7.20288000000E+008, -6.13511912193E+001, +0.00000000000E+000
+8.10286500000E+008, -7.17712793699E+001, +0.00000000000E+000
+9.00285000000E+008, -6.60566512337E+001, +0.00000000000E+000
+9.90283500000E+008, -6.38654779240E+001, +0.00000000000E+000
+1.08028200000E+009, -6.43755456199E+001, +0.00000000000E+000
+1.17028050000E+009, -6.98092434021E+001, +0.00000000000E+000
+1.26027900000E+009, -7.39531644598E+001, +0.00000000000E+000
+1.35027750000E+009, -7.04883007675E+001, +0.00000000000E+000
+1.44027600000E+009, -7.66370631107E+001, +0.00000000000E+000
+1.53027450000E+009, -7.51846572884E+001, +0.00000000000E+000
+1.62027300000E+009, -7.79824273821E+001, +0.00000000000E+000
+1.71027150000E+009, -8.55399451381E+001, +0.00000000000E+000
+1.80027000000E+009, -8.59830678923E+001, +0.00000000000E+000
+1.89026850000E+009, -7.97018951842E+001, +0.00000000000E+000
+1.98026700000E+009, -8.78607107620E+001, +0.00000000000E+000
+2.07026550000E+009, -8.90692633097E+001, +0.00000000000E+000
+2.16026400000E+009, -8.16238986576E+001, +0.00000000000E+000
+2.25026250000E+009, -9.05006081723E+001, +0.00000000000E+000
+2.34026100000E+009, -9.43573306243E+001, +0.00000000000E+000
+2.43025950000E+009, -8.72713217621E+001, +0.00000000000E+000
+2.52025800000E+009, -9.16042006826E+001, +0.00000000000E+000
+2.61025650000E+009, -8.82639320355E+001, +0.00000000000E+000
+2.70025500000E+009, -8.96638930908E+001, +0.00000000000E+000
+2.79025350000E+009, -8.61389110133E+001, +0.00000000000E+000
+2.88025200000E+009, -8.93114361161E+001, +0.00000000000E+000
+2.97025050000E+009, -8.95109632085E+001, +0.00000000000E+000
+3.06024900000E+009, -8.94096322000E+001, +0.00000000000E+000
+3.15024750000E+009, -9.05744129537E+001, +0.00000000000E+000
+3.24024600000E+009, -9.31457219180E+001, +0.00000000000E+000
+3.33024450000E+009, -8.76136301750E+001, +0.00000000000E+000
+3.42024300000E+009, -8.89819352257E+001, +0.00000000000E+000
+3.51024150000E+009, -9.06614709981E+001, +0.00000000000E+000
+3.60024000000E+009, -9.29802236008E+001, +0.00000000000E+000
+3.69023850000E+009, -9.43305348595E+001, +0.00000000000E+000
+3.78023700000E+009, -8.93543738797E+001, +0.00000000000E+000
+3.87023550000E+009, -9.02457951310E+001, +0.00000000000E+000
+3.96023400000E+009, -8.34844389644E+001, +0.00000000000E+000
+4.05023250000E+009, -8.32908255120E+001, +0.00000000000E+000
+4.14023100000E+009, -8.06285448815E+001, +0.00000000000E+000
+4.23022950000E+009, -7.85424491129E+001, +0.00000000000E+000
+4.32022800000E+009, -7.95479403297E+001, +0.00000000000E+000
+4.41022650000E+009, -7.84628155886E+001, +0.00000000000E+000
+4.50022500000E+009, -7.94632339908E+001, +0.00000000000E+000
+4.59022350000E+009, -7.91209398435E+001, +0.00000000000E+000
+4.68022200000E+009, -8.25331122193E+001, +0.00000000000E+000
+4.77022050000E+009, -8.30826999320E+001, +0.00000000000E+000
+4.86021900000E+009, -8.48837173540E+001, +0.00000000000E+000
+4.95021750000E+009, -9.24280619306E+001, +0.00000000000E+000
+5.04021600000E+009, -9.73336757912E+001, +0.00000000000E+000
+5.13021450000E+009, -9.41820973678E+001, +0.00000000000E+000
+5.22021300000E+009, -9.32173446658E+001, +0.00000000000E+000
+5.31021150000E+009, -9.31709528986E+001, +0.00000000000E+000
+5.40021000000E+009, -9.40716605206E+001, +0.00000000000E+000
+5.49020850000E+009, -8.89160400331E+001, +0.00000000000E+000
+5.58020700000E+009, -8.96077284783E+001, +0.00000000000E+000
+5.67020550000E+009, -8.85932148591E+001, +0.00000000000E+000
+5.76020400000E+009, -8.59015181221E+001, +0.00000000000E+000
+5.85020250000E+009, -8.47234320746E+001, +0.00000000000E+000
+5.94020100000E+009, -9.35391467482E+001, +0.00000000000E+000
+6.03019950000E+009, -9.30962591332E+001, +0.00000000000E+000
+6.12019800000E+009, -9.26371404133E+001, +0.00000000000E+000
+6.21019650000E+009, -8.93617215768E+001, +0.00000000000E+000
+6.30019500000E+009, -8.99910946649E+001, +0.00000000000E+000
+6.39019350000E+009, -8.62828647285E+001, +0.00000000000E+000
+6.48019200000E+009, -8.29575719329E+001, +0.00000000000E+000
+6.57019050000E+009, -8.24202760467E+001, +0.00000000000E+000
+6.66018900000E+009, -8.74088673933E+001, +0.00000000000E+000
+6.75018750000E+009, -8.14381229756E+001, +0.00000000000E+000
+6.84018600000E+009, -9.27103856517E+001, +0.00000000000E+000
+6.93018450000E+009, -8.76124962180E+001, +0.00000000000E+000
+7.02018300000E+009, -8.10977934883E+001, +0.00000000000E+000
+7.11018150000E+009, -8.16841300246E+001, +0.00000000000E+000
+7.20018000000E+009, -8.91893578500E+001, +0.00000000000E+000
+7.29017850000E+009, -8.64400337469E+001, +0.00000000000E+000
+7.38017700000E+009, -8.17988364229E+001, +0.00000000000E+000
+7.47017550000E+009, -9.33901179655E+001, +0.00000000000E+000
+7.56017400000E+009, -8.68819634675E+001, +0.00000000000E+000
+7.65017250000E+009, -8.55396935490E+001, +0.00000000000E+000
+7.74017100000E+009, -8.50380389144E+001, +0.00000000000E+000
+7.83016950000E+009, -8.44249386355E+001, +0.00000000000E+000
+7.92016800000E+009, -8.44861272798E+001, +0.00000000000E+000
+8.01016650000E+009, -8.64261550047E+001, +0.00000000000E+000
+8.10016500000E+009, -8.48412774543E+001, +0.00000000000E+000
+8.19016350000E+009, -9.31724674565E+001, +0.00000000000E+000
+8.28016200000E+009, -9.54546304456E+001, +0.00000000000E+000
+8.37016050000E+009, -8.56360942122E+001, +0.00000000000E+000
+8.46015900000E+009, -9.32735149000E+001, +0.00000000000E+000
+8.55015750000E+009, -8.96102571880E+001, +0.00000000000E+000
+8.64015600000E+009, -9.55529246798E+001, +0.00000000000E+000
+8.73015450000E+009, -8.33520480986E+001, +0.00000000000E+000
