7.2 1.4 -1.17227948092286 -10.4359425902792 0.11605057736157
7.2 1.5 -1.15191730631626 -10.157303518267 0.124339904315967
7.2 1.6 -1.13155513170966 -9.95618751784274 0.132629231270365
7.2 1.7 -1.11410183918971 -9.79017290027395 0.140918558224763
7.2 1.8 -1.09373966458311 -9.65977077527747 0.149207885179161
7.2 1.9 -1.07919525414983 -9.56213655144374 0.157497212133559
7.2 2 -1.06174196162988 -9.50653089327586 0.165786539087957


10.8 0.6 -0.721402757490989 -10.2424898142835 0.0331573078175913
10.8 0.7 -0.715584993317675 -9.95322494476426 0.0386835257871898
10.8 0.8 -0.706858347057703 -9.69938426431453 0.0442097437567884
10.8 0.9 -0.698131700797732 -9.33109274760263 0.0497359617263869
10.8 1 -0.692313936624418 -9.0094039962008 0.0552621796959855
10.8 1.1 -0.686496172451103 -8.79160225310178 0.060788397665584
10.8 1.2 -0.677769526191131 -8.61004363570376 0.0663146156351826
10.8 1.3 -0.671951762017817 -8.34335959183032 0.0718408336047812
10.8 1.4 -0.663225115757845 -8.11313073475747 0.0773670515743797
10.8 1.5 -0.65740735158453 -7.97354675506098 0.0828932695439783
10.8 1.6 -0.651589587411216 -7.87036180648287 0.0884194875135768
10.8 1.7 -0.642862941151245 -7.80507910363158 0.0939457054831754
10.8 1.8 -0.63704517697793 -7.63372608670729 0.0994719234527739
10.8 1.9 -0.631227412804616 -7.52717986762212 0.104998141422372
10.8 2 -0.61668300237133 -7.44013681596552 0.110524359391971
