"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+3.00000000000E+005, -7.98546359002E+001, +0.00000000000E+000
+9.02985000000E+007, -9.42620872688E+001, +0.00000000000E+000
+1.80297000000E+008, -7.05942151773E+001, +0.00000000000E+000
+2.70295500000E+008, -7.25424757518E+001, +0.00000000000E+000
+3.60294000000E+008, -7.01162216131E+001, +0.00000000000E+000
+4.50292500000E+008, -5.88143537144E+001, +0.00000000000E+000
+5.40291000000E+008, -5.63310256272E+001, +0.00000000000E+000
+6.30289500000E+008, -6.22232884465E+001, +0.00000000000E+000
+7.20288000000E+008, -6.94744964716E+001, +0.00000000000E+000
+8.10286500000E+008, -6.78547662242E+001, +0.00000000000E+000
+9.00285000000E+008, -7.53689256390E+001, +0.00000000000E+000
+9.90283500000E+008, -6.56467284339E+001, +0.00000000000E+000
+1.08028200000E+009, -5.81757265228E+001, +0.00000000000E+000
+1.17028050000E+009, -6.55828148302E+001, +0.00000000000E+000
+1.26027900000E+009, -6.50944015620E+001, +0.00000000000E+000
+1.35027750000E+009, -6.15013426027E+001, +0.00000000000E+000
+1.44027600000E+009, -7.14562777109E+001, +0.00000000000E+000
+1.53027450000E+009, -7.04395582702E+001, +0.00000000000E+000
+1.62027300000E+009, -7.14357587002E+001, +0.00000000000E+000
+1.71027150000E+009, -7.31572183272E+001, +0.00000000000E+000
+1.80027000000E+009, -7.60289597474E+001, +0.00000000000E+000
+1.89026850000E+009, -8.23742053182E+001, +0.00000000000E+000
+1.98026700000E+009, -8.21774214149E+001, +0.00000000000E+000
+2.07026550000E+009, -8.48274097395E+001, +0.00000000000E+000
+2.16026400000E+009, -8.86105802831E+001, +0.00000000000E+000
+2.25026250000E+009, -8.06871057110E+001, +0.00000000000E+000
+2.34026100000E+009, -7.47755679165E+001, +0.00000000000E+000
+2.43025950000E+009, -7.50758161179E+001, +0.00000000000E+000
+2.52025800000E+009, -7.08818850273E+001, +0.00000000000E+000
+2.61025650000E+009, -7.01135829732E+001, +0.00000000000E+000
+2.70025500000E+009, -7.14376904947E+001, +0.00000000000E+000
+2.79025350000E+009, -7.62515172653E+001, +0.00000000000E+000
+2.88025200000E+009, -7.05945624221E+001, +0.00000000000E+000
+2.97025050000E+009, -8.99028878535E+001, +0.00000000000E+000
+3.06024900000E+009, -7.12053925042E+001, +0.00000000000E+000
+3.15024750000E+009, -6.92263249461E+001, +0.00000000000E+000
+3.24024600000E+009, -6.72010546366E+001, +0.00000000000E+000
+3.33024450000E+009, -6.98763435360E+001, +0.00000000000E+000
+3.42024300000E+009, -7.69120826309E+001, +0.00000000000E+000
+3.51024150000E+009, -7.32180142266E+001, +0.00000000000E+000
+3.60024000000E+009, -8.26977557422E+001, +0.00000000000E+000
+3.69023850000E+009, -6.87727640217E+001, +0.00000000000E+000
+3.78023700000E+009, -6.50079221441E+001, +0.00000000000E+000
+3.87023550000E+009, -6.39659558919E+001, +0.00000000000E+000
+3.96023400000E+009, -6.36547961141E+001, +0.00000000000E+000
+4.05023250000E+009, -6.29045678943E+001, +0.00000000000E+000
+4.14023100000E+009, -6.31196988907E+001, +0.00000000000E+000
+4.23022950000E+009, -6.29289868099E+001, +0.00000000000E+000
+4.32022800000E+009, -6.33975859292E+001, +0.00000000000E+000
+4.41022650000E+009, -6.30806640470E+001, +0.00000000000E+000
+4.50022500000E+009, -6.47799018400E+001, +0.00000000000E+000
+4.59022350000E+009, -6.33479819458E+001, +0.00000000000E+000
+4.68022200000E+009, -6.48299646547E+001, +0.00000000000E+000
+4.77022050000E+009, -7.10041725577E+001, +0.00000000000E+000
+4.86021900000E+009, -7.16329006734E+001, +0.00000000000E+000
+4.95021750000E+009, -7.69155771384E+001, +0.00000000000E+000
+5.04021600000E+009, -8.38311841530E+001, +0.00000000000E+000
+5.13021450000E+009, -8.04477754507E+001, +0.00000000000E+000
+5.22021300000E+009, -8.04802923509E+001, +0.00000000000E+000
+5.31021150000E+009, -7.60220763518E+001, +0.00000000000E+000
+5.40021000000E+009, -7.74516454489E+001, +0.00000000000E+000
+5.49020850000E+009, -7.53587523048E+001, +0.00000000000E+000
+5.58020700000E+009, -7.47540474041E+001, +0.00000000000E+000
+5.67020550000E+009, -7.35298134033E+001, +0.00000000000E+000
+5.76020400000E+009, -7.43887606321E+001, +0.00000000000E+000
+5.85020250000E+009, -7.57187307845E+001, +0.00000000000E+000
+5.94020100000E+009, -7.80234569618E+001, +0.00000000000E+000
+6.03019950000E+009, -8.02954502848E+001, +0.00000000000E+000
+6.12019800000E+009, -7.78469229046E+001, +0.00000000000E+000
+6.21019650000E+009, -8.13291107133E+001, +0.00000000000E+000
+6.30019500000E+009, -8.20913045407E+001, +0.00000000000E+000
+6.39019350000E+009, -9.33558340308E+001, +0.00000000000E+000
+6.48019200000E+009, -8.64488990184E+001, +0.00000000000E+000
+6.57019050000E+009, -9.64406110685E+001, +0.00000000000E+000
+6.66018900000E+009, -9.25491953604E+001, +0.00000000000E+000
+6.75018750000E+009, -8.99652358848E+001, +0.00000000000E+000
+6.84018600000E+009, -8.54768097470E+001, +0.00000000000E+000
+6.93018450000E+009, -8.67084991529E+001, +0.00000000000E+000
+7.02018300000E+009, -8.29694322540E+001, +0.00000000000E+000
+7.11018150000E+009, -7.89470271939E+001, +0.00000000000E+000
+7.20018000000E+009, -7.48129026290E+001, +0.00000000000E+000
+7.29017850000E+009, -7.65005622680E+001, +0.00000000000E+000
+7.38017700000E+009, -7.90400363124E+001, +0.00000000000E+000
+7.47017550000E+009, -7.22504201741E+001, +0.00000000000E+000
+7.56017400000E+009, -7.14430860584E+001, +0.00000000000E+000
+7.65017250000E+009, -7.36249890035E+001, +0.00000000000E+000
+7.74017100000E+009, -7.07482807629E+001, +0.00000000000E+000
+7.83016950000E+009, -7.62009603186E+001, +0.00000000000E+000
+7.92016800000E+009, -7.57178165867E+001, +0.00000000000E+000
+8.01016650000E+009, -8.20668684437E+001, +0.00000000000E+000
+8.10016500000E+009, -9.00684133222E+001, +0.00000000000E+000
+8.19016350000E+009, -8.38401860115E+001, +0.00000000000E+000
+8.28016200000E+009, -8.91388536695E+001, +0.00000000000E+000
+8.37016050000E+009, -9.24987718048E+001, +0.00000000000E+000
+8.46015900000E+009, -8.28119174729E+001, +0.00000000000E+000
+8.55015750000E+009, -8.78800123164E+001, +0.00000000000E+000
+8.64015600000E+009, -8.85741238428E+001, +0.00000000000E+000
+8.73015450000E+009, -8.11814108378E+001, +0.00000000000E+000
+8.82015300000E+009, -9.70667780170E+001, +0.00000000000E+000
+8.91015150000E+009, -1.06286201489E+002, +0.00000000000E+000
+9.00015000000E+009, -8.38415404875E+001, +0.00000000000E+000
+9.09014850000E+009, -7.96360127071E+001, +0.00000000000E+000
+9.18014700000E+009, -9.88762183236E+001, +0.00000000000E+000
+9.27014550000E+009, -8.60688803472E+001, +0.00000000000E+000
+9.36014400000E+009, -8.98091277914E+001, +0.00000000000E+000
+9.45014250000E+009, -8.56680278882E+001, +0.00000000000E+000
+9.54014100000E+009, -8.12592636866E+001, +0.00000000000E+000
+9.63013950000E+009, -8.30674646803E+001, +0.00000000000E+000
+9.72013800000E+009, -8.11706328023E+001, +0.00000000000E+000
+9.81013650000E+009, -8.97286066919E+001, +0.00000000000E+000
+9.90013500000E+009, -9.61264205615E+001, +0.00000000000E+000
+9.99013350000E+009, -9.35943902064E+001, +0.00000000000E+000
+1.00801320000E+010, -8.32685238399E+001, +0.00000000000E+000
+1.01701305000E+010, -9.80088339877E+001, +0.00000000000E+000
+1.02601290000E+010, -8.16745059694E+001, +0.00000000000E+000
+1.03501275000E+010, -8.62789829214E+001, +0.00000000000E+000
+1.04401260000E+010, -9.12323373569E+001, +0.00000000000E+000
+1.05301245000E+010, -8.23013135550E+001, +0.00000000000E+000
+1.06201230000E+010, -1.02711742636E+002, +0.00000000000E+000
+1.07101215000E+010, -8.23135781355E+001, +0.00000000000E+000
+1.08001200000E+010, -9.17432208735E+001, +0.00000000000E+000
+1.08901185000E+010, -8.86428189604E+001, +0.00000000000E+000
+1.09801170000E+010, -9.48834605417E+001, +0.00000000000E+000
+1.10701155000E+010, -8.89283889392E+001, +0.00000000000E+000
+1.11601140000E+010, -8.61836173613E+001, +0.00000000000E+000
+1.12501125000E+010, -9.20559480541E+001, +0.00000000000E+000
+1.13401110000E+010, -9.35012959979E+001, +0.00000000000E+000
+1.14301095000E+010, -8.35726011288E+001, +0.00000000000E+000
+1.15201080000E+010, -8.82718053215E+001, +0.00000000000E+000
+1.16101065000E+010, -9.12413430940E+001, +0.00000000000E+000
+1.17001050000E+010, -8.82808733768E+001, +0.00000000000E+000
+1.17901035000E+010, -8.67185213375E+001, +0.00000000000E+000
+1.18801020000E+010, -9.47068915694E+001, +0.00000000000E+000
+1.19701005000E+010, -9.14892606771E+001, +0.00000000000E+000
+1.20600990000E+010, -9.97677350833E+001, +0.00000000000E+000
+1.21500975000E+010, -1.03104179109E+002, +0.00000000000E+000
+1.22400960000E+010, -9.66486152140E+001, +0.00000000000E+000
+1.23300945000E+010, -9.34757160007E+001, +0.00000000000E+000
+1.24200930000E+010, -8.64310121012E+001, +0.00000000000E+000
+1.25100915000E+010, -8.65435137894E+001, +0.00000000000E+000
+1.26000900000E+010, -1.16952159168E+002, +0.00000000000E+000
+1.26900885000E+010, -9.44474741824E+001, +0.00000000000E+000
+1.27800870000E+010, -9.41911144609E+001, +0.00000000000E+000
+1.28700855000E+010, -9.74846542124E+001, +0.00000000000E+000
+1.29600840000E+010, -8.82814879753E+001, +0.00000000000E+000
+1.30500825000E+010, -9.55391889014E+001, +0.00000000000E+000
+1.31400810000E+010, -9.74261293537E+001, +0.00000000000E+000
+1.32300795000E+010, -9.54999620801E+001, +0.00000000000E+000
+1.33200780000E+010, -8.98454720768E+001, +0.00000000000E+000
+1.34100765000E+010, -9.76516790451E+001, +0.00000000000E+000
+1.35000750000E+010, -9.45528956800E+001, +0.00000000000E+000
+1.35900735000E+010, -8.66468420186E+001, +0.00000000000E+000
+1.36800720000E+010, -9.19505254394E+001, +0.00000000000E+000
+1.37700705000E+010, -9.64923959917E+001, +0.00000000000E+000
+1.38600690000E+010, -1.07615674127E+002, +0.00000000000E+000
+1.39500675000E+010, -9.97382035279E+001, +0.00000000000E+000
+1.40400660000E+010, -9.01728324623E+001, +0.00000000000E+000
+1.41300645000E+010, -9.23853630400E+001, +0.00000000000E+000
+1.42200630000E+010, -9.04921325942E+001, +0.00000000000E+000
+1.43100615000E+010, -1.00691559754E+002, +0.00000000000E+000
+1.44000600000E+010, -9.74270915205E+001, +0.00000000000E+000
+1.44900585000E+010, -9.22679736978E+001, +0.00000000000E+000
+1.45800570000E+010, -9.49030639895E+001, +0.00000000000E+000
+1.46700555000E+010, -9.67053005889E+001, +0.00000000000E+000
+1.47600540000E+010, -1.04816532314E+002, +0.00000000000E+000
+1.48500525000E+010, -9.38023555984E+001, +0.00000000000E+000
+1.49400510000E+010, -9.34073606529E+001, +0.00000000000E+000
+1.50300495000E+010, -1.04659716623E+002, +0.00000000000E+000
+1.51200480000E+010, -1.03568574908E+002, +0.00000000000E+000
+1.52100465000E+010, -9.70826701338E+001, +0.00000000000E+000
+1.53000450000E+010, -9.69595269940E+001, +0.00000000000E+000
+1.53900435000E+010, -9.07213574875E+001, +0.00000000000E+000
+1.54800420000E+010, -8.93888074543E+001, +0.00000000000E+000
+1.55700405000E+010, -9.38212708073E+001, +0.00000000000E+000
+1.56600390000E+010, -9.01946951782E+001, +0.00000000000E+000
+1.57500375000E+010, -9.53598990864E+001, +0.00000000000E+000
+1.58400360000E+010, -1.02560938330E+002, +0.00000000000E+000
+1.59300345000E+010, -8.93963295667E+001, +0.00000000000E+000
+1.60200330000E+010, -9.28776049415E+001, +0.00000000000E+000
+1.61100315000E+010, -9.12579634029E+001, +0.00000000000E+000
+1.62000300000E+010, -9.45983503400E+001, +0.00000000000E+000
+1.62900285000E+010, -9.42196307251E+001, +0.00000000000E+000
+1.63800270000E+010, -9.31460310970E+001, +0.00000000000E+000
+1.64700255000E+010, -8.92850372809E+001, +0.00000000000E+000
+1.65600240000E+010, -9.16684426846E+001, +0.00000000000E+000
+1.66500225000E+010, -9.38093937434E+001, +0.00000000000E+000
+1.67400210000E+010, -9.53541856915E+001, +0.00000000000E+000
+1.68300195000E+010, -9.93320755636E+001, +0.00000000000E+000
+1.69200180000E+010, -9.61415561762E+001, +0.00000000000E+000
+1.70100165000E+010, -1.13158178520E+002, +0.00000000000E+000
+1.71000150000E+010, -8.96388374529E+001, +0.00000000000E+000
+1.71900135000E+010, -9.65769517189E+001, +0.00000000000E+000
