Horn,Plane,Frequency_GHz,Band_Low_GHz,Band_High_GHz,Angle_Deg,Raw_Band_Mean_S21_dB,Boresight_Band_Mean_S21_dB,Normalized_S21_dB,N_Frequency_Samples
HORN6,E,6,5.8,6.8,20,-70.40647123394,-62.39516620682666,-8.011305027113337,15
HORN6,E,6,5.8,6.8,30,-77.58004021628668,-62.39516620682666,-15.184874009460017,15
HORN6,E,6,5.8,6.8,40,-80.67447244726667,-62.39516620682666,-18.279306240440008,15
HORN6,E,6,5.8,6.8,50,-81.84936928413335,-62.39516620682666,-19.454203077306687,15
HORN6,E,6,5.8,6.8,60,-86.01904410049335,-62.39516620682666,-23.623877893666688,15
HORN6,E,6,5.8,6.8,70,-87.87593892505333,-62.39516620682666,-25.480772718226675,15
HORN6,E,6,5.8,6.8,80,-85.74324330902002,-62.39516620682666,-23.348077102193358,15
HORN6,E,6,5.8,6.8,90,-86.77827439534,-62.39516620682666,-24.383108188513347,15
HORN6,E,6,5.8,6.8,100,-89.38008663162002,-62.39516620682666,-26.98492042479336,15
HORN6,E,6,5.8,6.8,110,-93.08154434862666,-62.39516620682666,-30.686378141800006,15
HORN6,E,6,5.8,6.8,120,-77.74782970489998,-62.39516620682666,-15.352663498073326,15
HORN6,E,6,5.8,6.8,130,-86.00218980814665,-62.39516620682666,-23.607023601319995,15
HORN6,E,6,5.8,6.8,140,-81.39544693767998,-62.39516620682666,-19.00028073085332,15
HORN6,E,6,5.8,6.8,150,-75.09771983156,-62.39516620682666,-12.70255362473334,15
HORN6,E,6,5.8,6.8,160,-80.60734870864,-62.39516620682666,-18.212182501813345,15
HORN6,E,6,5.8,6.8,170,-88.89357451008,-62.39516620682666,-26.498408303253342,15
HORN6,E,6,5.8,6.8,180,-84.22871509080666,-62.39516620682666,-21.83354888398,15
HORN7,E,6,5.8,6.8,0,-62.32439335892,-62.32439335892,0.0,15
HORN7,E,6,5.8,6.8,10,-64.72972952354002,-62.32439335892,-2.4053361646200173,15
HORN7,E,6,5.8,6.8,20,-70.47392397527332,-62.32439335892,-8.149530616353324,15
HORN7,E,6,5.8,6.8,30,-78.38600521669332,-62.32439335892,-16.061611857773322,15
HORN7,E,6,5.8,6.8,40,-80.02371327577335,-62.32439335892,-17.699319916853348,15
HORN7,E,6,5.8,6.8,50,-82.24509689284,-62.32439335892,-19.920703533919998,15
HORN7,E,6,5.8,6.8,60,-84.94371824713333,-62.32439335892,-22.619324888213335,15
HORN7,E,6,5.8,6.8,70,-85.45512735462667,-62.32439335892,-23.13073399570667,15
HORN7,E,6,5.8,6.8,80,-87.86132421947998,-62.32439335892,-25.536930860559984,15
HORN7,E,6,5.8,6.8,90,-85.55387703170665,-62.32439335892,-23.22948367278665,15
HORN7,E,6,5.8,6.8,100,-87.43387240397334,-62.32439335892,-25.10947904505334,15
HORN7,E,6,5.8,6.8,110,-89.4497773046,-62.32439335892,-27.125383945680007,15
HORN7,E,6,5.8,6.8,120,-83.18375641800667,-62.32439335892,-20.859363059086668,15
HORN7,E,6,5.8,6.8,130,-88.24007123216666,-62.32439335892,-25.915677873246658,15
HORN7,E,6,5.8,6.8,140,-81.24136051343999,-62.32439335892,-18.916967154519988,15
HORN7,E,6,5.8,6.8,150,-83.08553355846,-62.32439335892,-20.76114019954,15
HORN7,E,6,5.8,6.8,160,-84.70852377694668,-62.32439335892,-22.38413041802668,15
HORN7,E,6,5.8,6.8,170,-89.28963301134667,-62.32439335892,-26.965239652426668,15
HORN7,E,6,5.8,6.8,180,-89.71340925092667,-62.32439335892,-27.389015892006675,15
HORN8,E,6,5.8,6.8,0,-64.44103495927334,-64.44103495927334,0.0,15
HORN8,E,6,5.8,6.8,10,-66.58856134010666,-64.44103495927334,-2.1475263808333267,15
HORN8,E,6,5.8,6.8,20,-71.71975046956668,-64.44103495927334,-7.278715510293338,15
HORN8,E,6,5.8,6.8,30,-79.12170773434667,-64.44103495927334,-14.680672775073333,15
HORN8,E,6,5.8,6.8,40,-81.43164825050668,-64.44103495927334,-16.990613291233345,15
HORN8,E,6,5.8,6.8,50,-85.21399783571334,-64.44103495927334,-20.772962876440005,15
HORN8,E,6,5.8,6.8,60,-87.12005498324666,-64.44103495927334,-22.679020023973322,15
HORN8,E,6,5.8,6.8,70,-89.50764506489334,-64.44103495927334,-25.06661010562,15
HORN8,E,6,5.8,6.8,80,-88.78128184396665,-64.44103495927334,-24.340246884693315,15
HORN8,E,6,5.8,6.8,90,-88.84057023638667,-64.44103495927334,-24.39953527711333,15
HORN8,E,6,5.8,6.8,100,-91.69396232057333,-64.44103495927334,-27.252927361299996,15
HORN8,E,6,5.8,6.8,110,-94.15239307436667,-64.44103495927334,-29.711358115093333,15
HORN8,E,6,5.8,6.8,120,-86.49892179471334,-64.44103495927334,-22.05788683544,15
HORN8,E,6,5.8,6.8,130,-88.62274070949333,-64.44103495927334,-24.18170575021999,15
HORN8,E,6,5.8,6.8,140,-82.46255502526,-64.44103495927334,-18.021520065986664,15
HORN8,E,6,5.8,6.8,150,-85.92056002934666,-64.44103495927334,-21.479525070073322,15
HORN8,E,6,5.8,6.8,160,-89.56924923794666,-64.44103495927334,-25.128214278673326,15
HORN8,E,6,5.8,6.8,170,-89.75180833411332,-64.44103495927334,-25.310773374839982,15
HORN8,E,6,5.8,6.8,180,-88.51608448663333,-64.44103495927334,-24.075049527359994,15
HORN1,E,7,6.8,7.8,0,-51.8995122945625,-51.8995122945625,0.0,16
HORN1,E,7,6.8,7.8,10,-56.40106014986875,-51.8995122945625,-4.501547855306249,16
