Horn,Plane,Frequency_GHz,Band_Low_GHz,Band_High_GHz,Angle_Deg,Raw_Band_Mean_S21_dB,Boresight_Band_Mean_S21_dB,Normalized_S21_dB,N_Frequency_Samples
HORN4,H,6,5.8,6.8,80,-74.92331076509332,-59.01039704464667,-15.912913720446646,15
HORN4,H,6,5.8,6.8,90,-77.59148038598002,-59.01039704464667,-18.581083341333347,15
HORN4,H,6,5.8,6.8,100,-80.31166470423999,-59.01039704464667,-21.301267659593314,15
HORN4,H,6,5.8,6.8,110,-82.78820635450666,-59.01039704464667,-23.777809309859983,15
HORN4,H,6,5.8,6.8,120,-86.67187082066667,-59.01039704464667,-27.661473776019996,15
HORN4,H,6,5.8,6.8,130,-84.60367585719999,-59.01039704464667,-25.593278812553315,15
HORN4,H,6,5.8,6.8,140,-85.29390574057334,-59.01039704464667,-26.283508695926663,15
HORN4,H,6,5.8,6.8,150,-85.51531262407335,-59.01039704464667,-26.504915579426672,15
HORN4,H,6,5.8,6.8,160,-83.16903831444667,-59.01039704464667,-24.158641269799993,15
HORN4,H,6,5.8,6.8,170,-85.25430988518,-59.01039704464667,-26.243912840533334,15
HORN4,H,6,5.8,6.8,180,-83.92510309096001,-59.01039704464667,-24.914706046313334,15
HORN5,H,6,5.8,6.8,0,-60.63625452456668,-60.63625452456668,0.0,15
HORN5,H,6,5.8,6.8,10,-61.27535598496666,-60.63625452456668,-0.6391014603999778,15
HORN5,H,6,5.8,6.8,20,-62.32606706583333,-60.63625452456668,-1.6898125412666474,15
HORN5,H,6,5.8,6.8,30,-63.298178841213335,-60.63625452456668,-2.6619243166466546,15
HORN5,H,6,5.8,6.8,40,-65.62042398884667,-60.63625452456668,-4.9841694642799865,15
HORN5,H,6,5.8,6.8,50,-68.31518438947334,-60.63625452456668,-7.678929864906664,15
HORN5,H,6,5.8,6.8,60,-70.43166663938668,-60.63625452456668,-9.795412114819996,15
HORN5,H,6,5.8,6.8,70,-73.40557828433333,-60.63625452456668,-12.76932375976665,15
HORN5,H,6,5.8,6.8,80,-75.77516963511333,-60.63625452456668,-15.138915110546648,15
