Plane,Frequency_GHz,Band_Low_GHz,Band_High_GHz,Angle_Deg,Ensemble_Mean_Normalized_S21_dB,Ensemble_SD_dB,N_Horns
E,12,11.8,12.8,150,-21.966900891673333,2.003404140237408,8
E,12,11.8,12.8,160,-22.705453231771664,1.7117775313699979,8
E,12,11.8,12.8,170,-22.95198154601917,2.0588162387075064,8
E,12,11.8,12.8,180,-21.978908592401673,1.6908282002458812,8
E,13,12.8,13.8,0,0.0,0.0,8
E,13,12.8,13.8,10,-2.9988699157367176,0.5775498597982596,8
E,13,12.8,13.8,20,-8.336103097618755,1.1075013931497855,8
E,13,12.8,13.8,30,-11.916898002641409,1.2041306441838224,8
E,13,12.8,13.8,40,-19.088932071021873,1.4589038186051797,8
E,13,12.8,13.8,50,-19.56824191628282,0.995263105981842,8
E,13,12.8,13.8,60,-19.558705981546876,1.1345318981094907,8
E,13,12.8,13.8,70,-21.106478061686722,1.4495994037682272,8
E,13,12.8,13.8,80,-20.356687575119537,1.5925753287922346,8
E,13,12.8,13.8,90,-21.740789101992974,0.9433159232854917,8
E,13,12.8,13.8,100,-21.161693697557034,1.3193867624328008,8
E,13,12.8,13.8,110,-22.03213668207734,2.1501676773986342,8
E,13,12.8,13.8,120,-21.416980987757817,1.3813737277042457,8
E,13,12.8,13.8,130,-22.11439615153516,1.223077370409477,8
E,13,12.8,13.8,140,-23.16558475412109,2.146787788888816,8
E,13,12.8,13.8,150,-22.79771114784219,1.7013903910957502,8
E,13,12.8,13.8,160,-22.636984206518747,1.5842775131687614,8
E,13,12.8,13.8,170,-23.938261855810154,2.0629893441709473,8
E,13,12.8,13.8,180,-22.231059734327346,2.0110804761215357,8
E,14,13.8,14.8,0,0.0,0.0,8
E,14,13.8,14.8,10,-2.696494641617498,0.7881913037060542,8
E,14,13.8,14.8,20,-9.126904231838335,1.446605980953051,8
E,14,13.8,14.8,30,-13.709173677338327,1.3989289092318953,8
E,14,13.8,14.8,40,-20.17766350066416,1.7610821253279103,8
E,14,13.8,14.8,50,-19.168425908687496,1.7359912487285436,8
E,14,13.8,14.8,60,-20.92293201900832,2.1596871808289166,8
E,14,13.8,14.8,70,-19.911294056966657,3.3250456696432105,8
E,14,13.8,14.8,80,-18.53111851086499,1.7560066123023554,8
E,14,13.8,14.8,90,-19.23894423395833,2.00721600612062,8
E,14,13.8,14.8,100,-19.558793089704164,2.183502660109934,8
E,14,13.8,14.8,110,-19.430306897949166,2.9809321272291993,8
E,14,13.8,14.8,120,-19.855111588495834,3.1287926336920213,8
E,14,13.8,14.8,130,-20.253957228017498,3.2103441345454966,8
E,14,13.8,14.8,140,-20.920125647969158,5.0972112031936545,8
E,14,13.8,14.8,150,-20.97524788317833,3.098839654367667,8
E,14,13.8,14.8,160,-21.52122697071333,4.081019086921846,8
E,14,13.8,14.8,170,-20.92097667475167,3.1642916848045255,8
E,14,13.8,14.8,180,-21.143488690081675,3.635832004417229,8
E,15,14.8,15.8,0,0.0,0.0,8
E,15,14.8,15.8,10,-2.2567257043062483,0.7884974034161787,8
E,15,14.8,15.8,20,-8.481755744117969,1.39799195693845,8
E,15,14.8,15.8,30,-13.537173405543754,1.757929251571079,8
E,15,14.8,15.8,40,-20.418730224442967,1.6825981479150778,8
E,15,14.8,15.8,50,-21.035183814514845,2.9340529382052134,8
E,15,14.8,15.8,60,-23.37160328973828,3.074265350981543,8
E,15,14.8,15.8,70,-21.630402644316405,3.1587292936356457,8
