Plane,Frequency_GHz,Band_Low_GHz,Band_High_GHz,Angle_Deg,Ensemble_Mean_Normalized_S21_dB,Ensemble_SD_dB,N_Horns
H,12,11.8,12.8,150,-18.509002848775843,1.589756182329245,8
H,12,11.8,12.8,160,-19.033583725899167,1.1220026316266511,8
H,12,11.8,12.8,170,-21.462239847154162,1.0915145584694468,8
H,12,11.8,12.8,180,-21.341184286325007,2.6691774424403145,8
H,13,12.8,13.8,0,0.0,0.0,8
H,13,12.8,13.8,10,-0.6847215605257855,0.1981577957605005,8
H,13,12.8,13.8,20,-2.2950780401476596,0.29348201730731255,8
H,13,12.8,13.8,30,-5.735843946964064,0.602296231286831,8
H,13,12.8,13.8,40,-9.062848119204691,0.7504696812445946,8
H,13,12.8,13.8,50,-14.015029554896094,0.7262933018887237,8
H,13,12.8,13.8,60,-16.822690193310166,1.782022151597787,8
H,13,12.8,13.8,70,-17.80669653824844,2.171692280064903,8
H,13,12.8,13.8,80,-17.620890389775003,1.9087463360922454,8
H,13,12.8,13.8,90,-18.09832920079688,2.276401702100272,8
H,13,12.8,13.8,100,-18.859961504427346,2.586219952029365,8
H,13,12.8,13.8,110,-19.027632966996876,1.9632664762914396,8
H,13,12.8,13.8,120,-18.773539206782033,1.7318986905065767,8
H,13,12.8,13.8,130,-19.36228918301797,1.9301204929390534,8
H,13,12.8,13.8,140,-19.401504089970317,1.9801124781415562,8
H,13,12.8,13.8,150,-20.38088352746094,0.9275482883150086,8
H,13,12.8,13.8,160,-20.98361655976094,1.836452793911543,8
H,13,12.8,13.8,170,-21.07044468983985,2.3704635113110943,8
H,13,12.8,13.8,180,-22.12697460576172,2.9495177411955247,8
H,14,13.8,14.8,0,0.0,0.0,8
H,14,13.8,14.8,10,-0.6447653237700024,0.20803788013066837,8
H,14,13.8,14.8,20,-2.5127204519199973,0.3125440164385953,8
H,14,13.8,14.8,30,-5.912942204265835,1.003969213608216,8
H,14,13.8,14.8,40,-9.153291934535837,1.1374058091264965,8
H,14,13.8,14.8,50,-13.790707019354166,1.6434160236831976,8
H,14,13.8,14.8,60,-15.56451538585916,2.2956865690271577,8
H,14,13.8,14.8,70,-17.324010042560836,2.6462355125559105,8
H,14,13.8,14.8,80,-18.90104137593917,3.1159454211435538,8
H,14,13.8,14.8,90,-17.924802233634164,1.942340557740775,8
H,14,13.8,14.8,100,-18.57264128652833,2.089945411472946,8
H,14,13.8,14.8,110,-18.40775487056417,3.056494102708346,8
H,14,13.8,14.8,120,-17.563104570245827,2.849062142970938,8
H,14,13.8,14.8,130,-17.526693627085,1.7746909635599581,8
H,14,13.8,14.8,140,-18.742110361145002,2.140167872070526,8
H,14,13.8,14.8,150,-18.43381508745834,2.3013284026364786,8
H,14,13.8,14.8,160,-18.922778516946668,2.935169738468725,8
H,14,13.8,14.8,170,-19.78688215519249,2.7748496784007854,8
H,14,13.8,14.8,180,-21.75541380200917,2.9670008903049374,8
H,15,14.8,15.8,0,0.0,0.0,8
H,15,14.8,15.8,10,-0.9340733616570258,0.20380718024244507,8
H,15,14.8,15.8,20,-2.9937694637117147,0.4596240175163449,8
H,15,14.8,15.8,30,-7.213859903703902,0.9722500458696578,8
H,15,14.8,15.8,40,-12.73207291190859,2.2338091912606375,8
H,15,14.8,15.8,50,-18.383412418506246,1.4949646662040872,8
H,15,14.8,15.8,60,-19.889604579914838,2.2130414813100114,8
H,15,14.8,15.8,70,-21.705394966500773,2.630128939445827,8
H,15,14.8,15.8,80,-21.346506793203908,2.6696896428511776,8
H,15,14.8,15.8,90,-21.32283309005078,3.4062663649621205,8
H,15,14.8,15.8,100,-21.63907651868671,2.863326381530515,8
H,15,14.8,15.8,110,-19.845049870088275,2.2853569574849506,8
H,15,14.8,15.8,120,-18.938721097660938,3.2140697172595534,8
H,15,14.8,15.8,130,-19.360546732705465,2.577562464677462,8
H,15,14.8,15.8,140,-19.256564867850777,2.5979874812338672,8
H,15,14.8,15.8,150,-20.536583404203903,2.5206381394182844,8
H,15,14.8,15.8,160,-20.159030326343746,3.2321554866879825,8
H,15,14.8,15.8,170,-22.4766594110289,3.4427863661513234,8
H,15,14.8,15.8,180,-22.61323603282422,3.301821660970442,8
H,16,15.8,16.8,0,0.0,0.0,8
H,16,15.8,16.8,10,-1.0810269647050044,0.3882839823720552,8
H,16,15.8,16.8,20,-3.640786646138338,0.8359955750822577,8
H,16,15.8,16.8,30,-7.528759808699165,0.717465732618302,8
H,16,15.8,16.8,40,-13.13424780531584,1.5186894932092083,8
H,16,15.8,16.8,50,-18.196623436950006,1.8318557390574186,8
H,16,15.8,16.8,60,-20.903760498301672,2.105062555981005,8
H,16,15.8,16.8,70,-22.01826981889583,3.7852060742533014,8
H,16,15.8,16.8,80,-20.960552215044164,2.930382509865125,8
H,16,15.8,16.8,90,-21.144926387761668,3.2457793995006448,8
H,16,15.8,16.8,100,-21.46067544991417,2.5258096715487293,8
H,16,15.8,16.8,110,-20.652142176585002,2.989876247826515,8
H,16,15.8,16.8,120,-20.5321346932625,3.0245239579761947,8
H,16,15.8,16.8,130,-19.77593653942667,3.032524733471412,8
H,16,15.8,16.8,140,-20.44346054138417,2.105266586695028,8
H,16,15.8,16.8,150,-21.530594244805002,3.0135181673912363,8
H,16,15.8,16.8,160,-20.38532918813334,3.041833985952662,8
H,16,15.8,16.8,170,-21.669092677601665,3.5326779549321166,8
H,16,15.8,16.8,180,-22.300483005639165,3.7864563977331978,8
H,17,16.8,17.8,0,0.0,0.0,8
H,17,16.8,17.8,10,-0.7444059529350042,0.7171676308830988,8
H,17,16.8,17.8,20,-3.2857700402791625,1.16721434083278,8
H,17,16.8,17.8,30,-6.121045389779164,0.704636405400297,8
H,17,16.8,17.8,40,-10.608539810770003,1.2966606154397462,8
H,17,16.8,17.8,50,-13.788535203491668,1.44031453519023,8
H,17,16.8,17.8,60,-15.254642392722497,2.365262892971391,8
H,17,16.8,17.8,70,-15.830197276276659,2.3328732122726468,8
H,17,16.8,17.8,80,-16.527886468348335,2.94780444233952,8
H,17,16.8,17.8,90,-15.503670561961663,3.00721882276399,8
H,17,16.8,17.8,100,-16.580141203578343,3.118204339255222,8
H,17,16.8,17.8,110,-16.772152989304995,3.1081882939349126,8
H,17,16.8,17.8,120,-16.73778137969167,3.878956772926063,8
H,17,16.8,17.8,130,-16.46346198262833,2.8090329289222726,8
H,17,16.8,17.8,140,-15.881711986079164,3.121133225597718,8
H,17,16.8,17.8,150,-15.956952192864993,2.5863396732059494,8
H,17,16.8,17.8,160,-15.712352147760823,3.460972072731005,8
H,17,16.8,17.8,170,-16.971300110664163,3.3011494731067748,8
H,17,16.8,17.8,180,-16.718143401211666,4.046434943791049,8
H,18,17.8,18.8,0,0.0,0.0,8
H,18,17.8,18.8,10,-0.29510037862812233,1.0794531329880312,8
H,18,17.8,18.8,20,-3.6489923496999968,2.084943296366435,8
H,18,17.8,18.8,30,-6.079495908203123,3.5135584253956846,8
H,18,17.8,18.8,40,-7.291978508,2.0025475543455125,8
H,18,17.8,18.8,50,-12.39035082145,4.459737137903558,8
H,18,17.8,18.8,60,-11.092613026674996,5.111561459527741,8
H,18,17.8,18.8,70,-12.951603951734374,3.648315119108269,8
H,18,17.8,18.8,80,-13.805333724956247,4.473244128734183,8
H,18,17.8,18.8,90,-14.011763546359372,2.876158056988809,8
H,18,17.8,18.8,100,-16.1538972673375,4.1717768304420675,8
H,18,17.8,18.8,110,-14.915396777571873,3.8984555648566452,8
H,18,17.8,18.8,120,-18.253873252287498,6.624234533849647,8
H,18,17.8,18.8,130,-15.455709579087495,4.410883961577475,8
H,18,17.8,18.8,140,-14.634823860909371,2.2789783965103716,8
H,18,17.8,18.8,150,-15.149129270184375,3.4224803790681593,8
H,18,17.8,18.8,160,-15.599325715512498,5.746723401371264,8
H,18,17.8,18.8,170,-16.909696877399995,5.4100240276987535,8
H,18,17.8,18.8,180,-16.961866189509372,4.976572422241329,8
