"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+3.00000000000E+005, -8.04171957801E+001, +0.00000000000E+000
+9.02985000000E+007, -1.05702623728E+002, +0.00000000000E+000
+1.80297000000E+008, -8.47375490062E+001, +0.00000000000E+000
+2.70295500000E+008, -7.62111053900E+001, +0.00000000000E+000
+3.60294000000E+008, -7.39425776161E+001, +0.00000000000E+000
+4.50292500000E+008, -6.64097085635E+001, +0.00000000000E+000
+5.40291000000E+008, -6.91751680924E+001, +0.00000000000E+000
+6.30289500000E+008, -6.88404432242E+001, +0.00000000000E+000
+7.20288000000E+008, -6.79949726297E+001, +0.00000000000E+000
+8.10286500000E+008, -8.22249818633E+001, +0.00000000000E+000
+9.00285000000E+008, -6.64459082887E+001, +0.00000000000E+000
+9.90283500000E+008, -6.67619643216E+001, +0.00000000000E+000
+1.08028200000E+009, -6.57746525588E+001, +0.00000000000E+000
+1.17028050000E+009, -6.66674856320E+001, +0.00000000000E+000
+1.26027900000E+009, -7.32937576838E+001, +0.00000000000E+000
+1.35027750000E+009, -7.30708512754E+001, +0.00000000000E+000
+1.44027600000E+009, -8.52998349126E+001, +0.00000000000E+000
+1.53027450000E+009, -9.13279905656E+001, +0.00000000000E+000
+1.62027300000E+009, -7.45242351190E+001, +0.00000000000E+000
+1.71027150000E+009, -7.99957215290E+001, +0.00000000000E+000
+1.80027000000E+009, -7.92431478673E+001, +0.00000000000E+000
+1.89026850000E+009, -7.59324602053E+001, +0.00000000000E+000
+1.98026700000E+009, -7.69420653510E+001, +0.00000000000E+000
+2.07026550000E+009, -8.21477345308E+001, +0.00000000000E+000
+2.16026400000E+009, -8.46274584990E+001, +0.00000000000E+000
+2.25026250000E+009, -8.53605253763E+001, +0.00000000000E+000
+2.34026100000E+009, -8.95730404068E+001, +0.00000000000E+000
+2.43025950000E+009, -8.37120981986E+001, +0.00000000000E+000
+2.52025800000E+009, -9.19726232151E+001, +0.00000000000E+000
+2.61025650000E+009, -8.51259715521E+001, +0.00000000000E+000
+2.70025500000E+009, -8.29850664407E+001, +0.00000000000E+000
+2.79025350000E+009, -8.85294914682E+001, +0.00000000000E+000
+2.88025200000E+009, -8.75266198822E+001, +0.00000000000E+000
+2.97025050000E+009, -8.72134321524E+001, +0.00000000000E+000
+3.06024900000E+009, -8.81798932118E+001, +0.00000000000E+000
+3.15024750000E+009, -8.92633398711E+001, +0.00000000000E+000
+3.24024600000E+009, -9.56630651297E+001, +0.00000000000E+000
+3.33024450000E+009, -8.91249493328E+001, +0.00000000000E+000
+3.42024300000E+009, -9.33414197771E+001, +0.00000000000E+000
+3.51024150000E+009, -9.06961055304E+001, +0.00000000000E+000
+3.60024000000E+009, -1.01466139846E+002, +0.00000000000E+000
+3.69023850000E+009, -9.41086278476E+001, +0.00000000000E+000
+3.78023700000E+009, -8.84360731956E+001, +0.00000000000E+000
+3.87023550000E+009, -9.21672847636E+001, +0.00000000000E+000
+3.96023400000E+009, -8.59585671960E+001, +0.00000000000E+000
+4.05023250000E+009, -8.28627289212E+001, +0.00000000000E+000
+4.14023100000E+009, -8.34897753056E+001, +0.00000000000E+000
+4.23022950000E+009, -8.36936427239E+001, +0.00000000000E+000
+4.32022800000E+009, -8.37088432241E+001, +0.00000000000E+000
+4.41022650000E+009, -8.19126252666E+001, +0.00000000000E+000
+4.50022500000E+009, -8.61365951005E+001, +0.00000000000E+000
+4.59022350000E+009, -8.26573699251E+001, +0.00000000000E+000
+4.68022200000E+009, -8.39997991268E+001, +0.00000000000E+000
