"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+3.00000000000E+005, -8.40854012187E+001, +0.00000000000E+000
+9.02985000000E+007, -1.04174015868E+002, +0.00000000000E+000
+1.80297000000E+008, -8.13530084581E+001, +0.00000000000E+000
+2.70295500000E+008, -6.92539032299E+001, +0.00000000000E+000
+3.60294000000E+008, -7.59572844745E+001, +0.00000000000E+000
+4.50292500000E+008, -6.84983363011E+001, +0.00000000000E+000
+5.40291000000E+008, -6.92515453438E+001, +0.00000000000E+000
+6.30289500000E+008, -7.23220144703E+001, +0.00000000000E+000
+7.20288000000E+008, -6.40213570028E+001, +0.00000000000E+000
+8.10286500000E+008, -6.83355259625E+001, +0.00000000000E+000
+9.00285000000E+008, -6.73798401429E+001, +0.00000000000E+000
+9.90283500000E+008, -6.54753692306E+001, +0.00000000000E+000
+1.08028200000E+009, -6.36018311623E+001, +0.00000000000E+000
+1.17028050000E+009, -6.55579065100E+001, +0.00000000000E+000
+1.26027900000E+009, -6.73687893877E+001, +0.00000000000E+000
+1.35027750000E+009, -6.79780164857E+001, +0.00000000000E+000
+1.44027600000E+009, -6.74018865843E+001, +0.00000000000E+000
+1.53027450000E+009, -6.96243972122E+001, +0.00000000000E+000
+1.62027300000E+009, -7.07028209518E+001, +0.00000000000E+000
+1.71027150000E+009, -6.90072787127E+001, +0.00000000000E+000
+1.80027000000E+009, -7.86339736430E+001, +0.00000000000E+000
+1.89026850000E+009, -7.23514387717E+001, +0.00000000000E+000
+1.98026700000E+009, -6.75710932107E+001, +0.00000000000E+000
+2.07026550000E+009, -7.05333986144E+001, +0.00000000000E+000
+2.16026400000E+009, -6.86076617367E+001, +0.00000000000E+000
+2.25026250000E+009, -7.40548866485E+001, +0.00000000000E+000
+2.34026100000E+009, -6.87783317142E+001, +0.00000000000E+000
+2.43025950000E+009, -6.90417060020E+001, +0.00000000000E+000
+2.52025800000E+009, -7.38513653803E+001, +0.00000000000E+000
+2.61025650000E+009, -7.25084568828E+001, +0.00000000000E+000
+2.70025500000E+009, -7.89759098895E+001, +0.00000000000E+000
