"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+3.00000000000E+005, -7.83428639781E+001, +0.00000000000E+000
+9.02985000000E+007, -1.04844686826E+002, +0.00000000000E+000
+1.80297000000E+008, -8.45211466265E+001, +0.00000000000E+000
+2.70295500000E+008, -7.62094499782E+001, +0.00000000000E+000
+3.60294000000E+008, -7.03151204273E+001, +0.00000000000E+000
+4.50292500000E+008, -7.85236222972E+001, +0.00000000000E+000
+5.40291000000E+008, -7.53648934938E+001, +0.00000000000E+000
+6.30289500000E+008, -8.22961848160E+001, +0.00000000000E+000
+7.20288000000E+008, -8.73849218937E+001, +0.00000000000E+000
+8.10286500000E+008, -7.21710202883E+001, +0.00000000000E+000
+9.00285000000E+008, -7.17823481310E+001, +0.00000000000E+000
+9.90283500000E+008, -8.13101715100E+001, +0.00000000000E+000
+1.08028200000E+009, -6.68803994662E+001, +0.00000000000E+000
+1.17028050000E+009, -6.59424253324E+001, +0.00000000000E+000
+1.26027900000E+009, -7.48595915465E+001, +0.00000000000E+000
+1.35027750000E+009, -6.67044818504E+001, +0.00000000000E+000
+1.44027600000E+009, -6.84161725301E+001, +0.00000000000E+000
+1.53027450000E+009, -6.32731635254E+001, +0.00000000000E+000
+1.62027300000E+009, -5.86711128068E+001, +0.00000000000E+000
+1.71027150000E+009, -5.95205751035E+001, +0.00000000000E+000
+1.80027000000E+009, -6.36824225063E+001, +0.00000000000E+000
+1.89026850000E+009, -5.84524835769E+001, +0.00000000000E+000
+1.98026700000E+009, -5.96632033883E+001, +0.00000000000E+000
+2.07026550000E+009, -6.10846097733E+001, +0.00000000000E+000
+2.16026400000E+009, -5.97118392102E+001, +0.00000000000E+000
+2.25026250000E+009, -5.91080146184E+001, +0.00000000000E+000
+2.34026100000E+009, -6.06392848123E+001, +0.00000000000E+000
+2.43025950000E+009, -5.97832237056E+001, +0.00000000000E+000
+2.52025800000E+009, -6.95309511471E+001, +0.00000000000E+000
+2.61025650000E+009, -7.24017949514E+001, +0.00000000000E+000
+2.70025500000E+009, -6.62966572410E+001, +0.00000000000E+000
+2.79025350000E+009, -6.73212946541E+001, +0.00000000000E+000
+2.88025200000E+009, -7.78250121890E+001, +0.00000000000E+000
+2.97025050000E+009, -7.51405579790E+001, +0.00000000000E+000
+3.06024900000E+009, -6.87305855515E+001, +0.00000000000E+000
+3.15024750000E+009, -6.87903165992E+001, +0.00000000000E+000
+3.24024600000E+009, -8.28998165799E+001, +0.00000000000E+000
+3.33024450000E+009, -6.85712840404E+001, +0.00000000000E+000
+3.42024300000E+009, -6.78129247154E+001, +0.00000000000E+000
+3.51024150000E+009, -7.23928953343E+001, +0.00000000000E+000
+3.60024000000E+009, -7.06425233692E+001, +0.00000000000E+000
+3.69023850000E+009, -7.52446512002E+001, +0.00000000000E+000
+3.78023700000E+009, -7.60530450599E+001, +0.00000000000E+000
+3.87023550000E+009, -7.59534832946E+001, +0.00000000000E+000
+3.96023400000E+009, -7.09976085897E+001, +0.00000000000E+000
+4.05023250000E+009, -9.09042749947E+001, +0.00000000000E+000
+4.14023100000E+009, -7.45045623633E+001, +0.00000000000E+000
